art_id,art_name,art_name_uri,art_name_first,art_name_nick,art_name_last,art_name_group,art_year_birth,art_place_birth,art_year_death,art_place_death,art_place_living_working,art_nationality,art_area,art_bio,art_image,art_url
463,Markus Pieber,,Markus,,Pieber,,,,,,,Austria,Europe,,,
464,Markus Stieber,,Markus,,Stieber,,,,,,,Austria,Europe,,,
465,Marlene Haring,https://www.wikidata.org/entity/Q39389480,Marlene,,Haring,,,,,,,Austria,Europe,,,
466,Marlene Persch,,Marlene,,Persch,,,,,,,Austria,Europe,,,
467,Martin Breindl,https://www.wikidata.org/entity/Q99505348,Martin,,Breindl,,,,,,,Austria,Europe,,,
468,Martin Dickinger,https://www.wikidata.org/entity/Q121781974,Martin,,Dickinger,,,,,,,Austria,Europe,,,
469,Martin G. Wanko,https://www.wikidata.org/entity/Q1124589,Martin G.,,Wanko,,,,,,,Austria,Europe,,,
470,Martin Honzik mit Pferd Bibi,,,,,Martin Honzik mit Pferd Bibi,,,,,,Austria,Europe,,,
471,Martin Plass,,Martin,,Plass,,,,,,,Austria,Europe,,,
472,Martin Zrost,,Martin,,Zrost,,,,,,,Austria,Europe,,,
